NEU_DATUM;AUFTRAGSNR;AUFTRAGSPOS;ARTIKELNR;BEGINN_ZEIT;ENDE_ZEIT;PERS_NR;LHM_TYP;MENGE_IST;GEWICHT_SOLL;VOLUMEN_KOLLI;PALNR;KUNDENNR;warehouse;area;aisle;house;place;picklocation
30.08.2024;1;1;516;07:01:10;07:05:41;7;39;6;7,181;12,156;3,43881E+17;413;51;1;3;29;4;2904
30.08.2024;1;2;394;07:05:41;07:05:42;7;39;6;7,673;11,636;3,43881E+17;413;51;1;3;36;2;3602
30.08.2024;1;3;131;07:05:42;07:06:06;7;39;6;8,135;15,576;3,43881E+17;413;51;1;4;23;73;2373
30.08.2024;1;4;280;07:06:06;07:07:09;7;39;12;6,618;10,023;3,43881E+17;413;51;1;5;9;2;902
30.08.2024;1;5;552;07:07:09;07:07:10;7;39;36;40,212;10,221;3,43881E+17;413;51;1;5;22;4;2204
30.08.2024;1;6;839;07:07:10;07:07:28;7;39;24;8,653;12,675;3,43881E+17;413;51;1;5;37;0;3700
30.08.2024;1;7;897;07:07:28;07:07:29;7;39;24;6,475;10,11;3,43881E+17;413;51;1;5;37;2;3702
30.08.2024;1;8;1055;07:07:29;07:07:41;7;39;24;8,467;12,556;3,43881E+17;413;51;1;5;39;0;3900
30.08.2024;1;9;1116;07:07:41;07:08:14;7;39;12;2,617;4,324;3,43881E+17;413;51;1;6;9;4;904
30.08.2024;1;10;1192;07:08:14;07:08:33;7;39;12;3,252;5,042;3,43881E+17;413;51;1;6;12;4;1204
30.08.2024;1;11;934;07:08:35;07:09:07;7;39;12;15,518;13,168;3,43881E+17;413;51;7;7;9;0;900
30.08.2024;1;12;77;07:09:07;07:09:38;7;39;6;8,099;14,647;3,43881E+17;413;51;7;7;23;0;2300
30.08.2024;1;13;211;07:09:38;07:10:27;7;39;6;9,37;15,204;3,43881E+17;413;51;7;8;11;0;1100
