Each line represents the instant in the time of the arrival of each order within the interval [0 - 14400000] expressed in ms. ;
The arrival instants are stored in this file, in the same order than in the file which contains the customer's orders.;
Order ID; Arrival Time
1;113437
2;298601
3;474102
4;544812
5;715988
6;973060
7;1220900
8;1347735
9;1436953
10;1521629
11;1623374
12;1680943
13;1941881
14;2420476
15;2793128
16;2800269
17;2866760
18;3151638
19;3196469
20;3423991
21;3429052
22;3543676
23;4142318
24;4432133
25;4992295
26;4992740
27;5078204
28;5967957
29;6206205
30;6510275
31;7010534
32;7069631
33;7115602
34;7543440
35;8513581
36;8533306
37;8550079
38;8770865
39;8823233
40;8999643
