instance,scenario,scenario_label,final_makespan,avg_makespan,avg_utilization,avg_dock,max_dock,n_tours
29s-40-30-0,scenario_henn_order_window_waiting,Order Window (5),22391.988,594.1428571428571,0.7739114253814663,0.0,0,28
29s-40-30-0,scenario_henn_waiting,Henn Waiting,22533.874,563.5666666666667,0.7640891218872871,0.0,0,30
30s-40-45-0,scenario_henn_order_window_waiting,Order Window (5),16344.988000000001,796.8125,0.8252314065635317,0.0,0,16
30s-40-45-0,scenario_henn_waiting,Henn Waiting,17809.162,706.1578947368421,0.7709905731935939,0.0,0,19
31s-40-60-0,scenario_henn_order_window_waiting,Order Window (5),14651.988000000001,981.3333333333334,0.8560628089560919,0.0,0,12
31s-40-60-0,scenario_henn_waiting,Henn Waiting,16827.874,796.5294117647059,0.8246148224834053,0.0,0,17
32s-40-75-0,scenario_henn_order_window_waiting,Order Window (5),12440.988000000001,1122.7777777777778,0.8752706799480293,0.0,0,9
32s-40-75-0,scenario_henn_waiting,Henn Waiting,13625.204,927.8333333333334,0.8423151789976495,0.0,0,12
37s-60-30-0,scenario_henn_order_window_waiting,Order Window (5),34902.326,620.5813953488372,0.7792378449408672,0.0,0,43
37s-60-30-0,scenario_henn_waiting,Henn Waiting,36387.25,590.9787234042553,0.7703572220989572,0.0,0,47
38s-60-45-0,scenario_henn_order_window_waiting,Order Window (5),23356.326,814.7391304347826,0.825542975461474,0.0,0,23
38s-60-45-0,scenario_henn_waiting,Henn Waiting,23913.25,770.48,0.8168094309218896,0.0,0,25
39s-60-60-0,scenario_henn_order_window_waiting,Order Window (5),20389.326,991.2941176470588,0.8540441921751469,0.0,0,17
39s-60-60-0,scenario_henn_waiting,Henn Waiting,21725.25,898.7,0.8401420959147424,0.0,0,20
40s-60-75-0,scenario_henn_order_window_waiting,Order Window (5),16064.326000000001,1118.9166666666667,0.8714869864347374,0.0,0,12
40s-60-75-0,scenario_henn_waiting,Henn Waiting,17460.25,973.9333333333333,0.8528810788720883,0.0,0,15
61s-80-30-0,scenario_henn_order_window_waiting,Order Window (5),44486.994999999995,608.0178571428571,0.7747389019090308,0.0,0,56
61s-80-30-0,scenario_henn_waiting,Henn Waiting,44792.438,603.8421052631579,0.7734780556866446,0.0,0,57
62s-80-45-0,scenario_henn_order_window_waiting,Order Window (5),33694.994999999995,830.2121212121211,0.8262810266308774,0.0,0,33
62s-80-45-0,scenario_henn_waiting,Henn Waiting,35899.438,761.7368421052631,0.8129528731112734,0.0,0,38
63s-80-60-0,scenario_henn_order_window_waiting,Order Window (5),25768.995,975.0454545454545,0.8501842970948437,0.0,0,22
63s-80-60-0,scenario_henn_waiting,Henn Waiting,28805.438000000002,844.7142857142857,0.8295454545454545,0.0,0,28
64s-80-75-0,scenario_henn_order_window_waiting,Order Window (5),23366.995,1098.2777777777778,0.8659599632046958,0.0,0,18
64s-80-75-0,scenario_henn_waiting,Henn Waiting,25530.438000000002,925.0869565217391,0.8430875302135752,0.0,0,23
69s-100-30-0,scenario_henn_order_window_waiting,Order Window (5),47993.395000000004,628.5932203389831,0.7803353883055948,0.0,0,59
69s-100-30-0,scenario_henn_waiting,Henn Waiting,49699.75,595.140625,0.7705800238726254,0.0,0,64
70s-100-45-0,scenario_henn_order_window_waiting,Order Window (5),34905.395000000004,838.2058823529413,0.8275211243067452,0.0,0,34
70s-100-45-0,scenario_henn_waiting,Henn Waiting,37508.75,755.45,0.8114828938181428,0.0,0,40
72s-100-75-0,scenario_henn_order_window_waiting,Order Window (5),27094.395,1160.4,0.871563767462821,0.0,0,20
72s-100-75-0,scenario_henn_waiting,Henn Waiting,30668.75,952.5185185185185,0.8460425027962366,0.0,0,27
