date,order_id,customer_id,picker_id,article_id,quantity,line_weight,kolli_volume,aisle,house,picklocation,start_sec,end_sec,order_date,due_date,length,width,height,kolli_size
0,G0100-000001,generated-day-1,,A00973,6,6.591,11.876,3,8,800,,,7200.0,21600.0,240.0,160.0,290.0,6
0,G0100-000001,generated-day-1,,A00113,6,6.824,11.0,3,3,304,,,7200.0,21600.0,157.0,228.0,305.0,6
0,G0100-000001,generated-day-1,,A00711,6,8.019,14.717,1,6,602,,,7200.0,21600.0,265.0,180.0,310.0,6
0,G0100-000001,generated-day-1,,A00839,4,6.236,11.956,7,42,4200,,,7200.0,21600.0,360.0,243.0,150.0,4
0,G0100-000001,generated-day-1,,A00827,4,12.728,20.162,4,40,4002,,,7200.0,21600.0,412.0,276.0,170.0,4
0,G0100-000001,generated-day-1,,A00626,12,12.456,10.807,8,34,3400,,,7200.0,21600.0,230.0,155.0,296.0,6
0,G0100-000001,generated-day-1,,A01051,12,6.347,9.67,5,10,1000,,,7200.0,21600.0,274.0,204.0,173.0,12
0,G0100-000001,generated-day-1,,A00311,6,6.461,11.587,8,31,3104,,,7200.0,21600.0,239.0,160.0,303.0,6
0,G0100-000001,generated-day-1,,A00276,12,12.548000000000002,12.288,8,27,2702,,,7200.0,21600.0,166.0,249.0,316.0,6
0,G0100-000001,generated-day-1,,A00642,12,4.801,9.294,4,9,902,,,7200.0,21600.0,230.0,170.0,215.0,12
0,G0100-000001,generated-day-1,,A00450,96,26.388000000000005,10.08,5,22,2202,,,7200.0,21600.0,332.0,220.0,138.0,24
0,G0100-000001,generated-day-1,,A01050,12,6.584999999999999,9.848,5,8,802,,,7200.0,21600.0,275.0,207.0,173.0,12
0,G0100-000001,generated-day-1,,A00778,6,8.38,15.444,1,12,1204,,,7200.0,21600.0,276.0,186.0,316.0,6
0,G0100-000001,generated-day-1,,A00134,36,19.583999999999996,9.991,5,12,1204,,,7200.0,21600.0,279.0,207.0,173.0,12
0,G0100-000001,generated-day-1,,A01138,6,6.222999999999999,11.493,8,35,3502,,,7200.0,21600.0,230.0,155.0,296.0,6
0,G0100-000001,generated-day-1,,A01005,6,12.676,19.133,7,2,204,,,7200.0,21600.0,306.0,205.0,305.0,6
0,G0100-000001,generated-day-1,,A00171,21,4.825,78.239,7,0,2,,,7200.0,21600.0,390.0,590.0,292.0,21
0,G0100-000001,generated-day-1,,A00576,6,7.125,12.192,2,28,2804,,,7200.0,21600.0,235.0,160.0,310.0,6
0,G0100-000001,generated-day-1,,A00500,6,7.681,13.381,1,31,3102,,,7200.0,21600.0,250.0,171.0,313.0,6
0,G0100-000001,generated-day-1,,A00423,6,9.462,17.199,8,12,1200,,,7200.0,21600.0,265.0,175.0,355.0,6
0,G0100-000001,generated-day-1,,A00640,24,12.602,10.117,5,3,302,,,7200.0,21600.0,278.0,206.0,173.0,12
0,G0100-000001,generated-day-1,,A01258,24,8.553,13.213,5,36,3602,,,7200.0,21600.0,353.0,241.0,205.0,24
0,G0100-000001,generated-day-1,,A00701,24,8.512,13.851,6,5,500,,,7200.0,21600.0,414.0,272.0,123.0,24
