date,order_id,customer_id,picker_id,article_id,quantity,line_weight,kolli_volume,aisle,house,picklocation,start_sec,end_sec,order_date,due_date,length,width,height,kolli_size
0,G0102-000001,generated-day-1,,A00066,12,11.033,20.723,8,41,4102,,,7200.0,28800.0,328.0,243.0,260.0,12
0,G0102-000001,generated-day-1,,A00753,6,6.438,10.439,2,7,704,,,7200.0,28800.0,220.0,148.0,296.0,6
0,G0102-000001,generated-day-1,,A00659,24,12.575,19.577,4,16,1602,,,7200.0,28800.0,400.0,270.0,170.0,24
0,G0102-000001,generated-day-1,,A00907,6,9.522,17.063,7,15,1500,,,7200.0,28800.0,281.0,188.0,323.0,6
0,G0102-000001,generated-day-1,,A01100,6,9.239,16.759,7,26,2604,,,7200.0,28800.0,174.0,261.0,333.0,6
0,G0102-000001,generated-day-1,,A01087,6,8.056,13.755,7,12,1204,,,7200.0,28800.0,257.0,171.0,313.0,6
0,G0102-000001,generated-day-1,,A00171,21,4.825,78.239,7,0,2,,,7200.0,28800.0,390.0,590.0,292.0,21
0,G0102-000001,generated-day-1,,A00875,6,9.236,14.164,7,27,2704,,,7200.0,28800.0,262.0,170.0,318.0,6
0,G0102-000001,generated-day-1,,A00664,12,12.984000000000002,10.875,8,35,3500,,,7200.0,28800.0,237.0,161.0,285.0,6
0,G0102-000001,generated-day-1,,A00623,24,25.316,12.585,8,28,2802,,,7200.0,28800.0,166.0,249.0,316.0,6
0,G0102-000001,generated-day-1,,A00608,6,5.143,9.842,1,34,3402,,,7200.0,28800.0,263.0,189.0,198.0,6
0,G0102-000001,generated-day-1,,A00708,24,12.546,22.163,4,28,2802,,,7200.0,28800.0,405.0,270.0,175.0,24
0,G0102-000001,generated-day-1,,A00298,6,9.526,20.66,3,5,504,,,7200.0,28800.0,302.0,199.0,318.0,6
0,G0102-000001,generated-day-1,,A00781,13,65.637,8.198,8,49,4902,,,7200.0,28800.0,247.0,166.0,283.0,1
0,G0102-000001,generated-day-1,,A00155,72,19.767000000000003,10.019,5,19,1904,,,7200.0,28800.0,330.0,220.0,138.0,24
0,G0102-000001,generated-day-1,,A01057,4,6.176,11.64,7,33,3304,,,7200.0,28800.0,196.0,196.0,303.0,4
0,G0102-000001,generated-day-1,,A00146,6,9.192,16.546,8,17,1700,,,7200.0,28800.0,265.0,175.0,355.0,6
0,G0102-000001,generated-day-1,,A00639,12,4.202,6.888,6,3,302,,,7200.0,28800.0,280.0,205.0,120.0,12
0,G0102-000001,generated-day-1,,A00467,24,12.546,22.163,4,28,2802,,,7200.0,28800.0,405.0,270.0,175.0,24
0,G0102-000001,generated-day-1,,A00304,6,6.892,11.572,2,23,2304,,,7200.0,28800.0,234.0,157.0,315.0,6
0,G0102-000001,generated-day-1,,A00555,6,4.869,9.178,8,44,4400,,,7200.0,28800.0,217.0,145.0,278.0,6
0,G0102-000001,generated-day-1,,A01212,6,7.729,14.427,8,36,3600,,,7200.0,28800.0,269.0,178.0,310.0,6
0,G0102-000001,generated-day-1,,A00497,6,2.843,31.6,6,37,3704,,,7200.0,28800.0,590.0,260.0,206.0,6
